,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Jimmy Butler,3.0,3.0,2.0,1.0,2.0,3.0,0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,0,1.0,2.0,3.0,2.0,4.0,2.0,3.0
1,Tobias Harris,4.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0
2,Ben Simmons,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
3,Boban Marjanovic,3.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0
4,T.J. McConnell,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,0,2.0,2.0,2.0,2.0,4.0,1.0,3.0
5,Furkan Korkmaz,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,0,2.0,1.0,1.0,1.0,3.0,2.0,3.0
6,Jonathon Simmons,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0
7,Joel Embiid,2.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,0,2.0,0.0,2.0,2.0,4.0,2.0,3.0
8,Zhaire Smith,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,J.J. Redick,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,0,2.0,2.0,1.0,2.0,3.0,2.0,1.0
10,Mike Scott,4.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0
11,James Ennis,2.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0
12,Amir Johnson,2.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,0,1.0,2.0,0.0,1.0,2.0,2.0,2.0
13,Jonah Bolden,3.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0,1.0,2.0,1.0,2.0,3.0,1.0,2.0
14,Shake Milton,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
15,Haywood Highsmith,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,Greg Monroe,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0
